run	Rate	curr	pcal	hcal	hcer	aero	htrack	ptrack	TLT	boil	fadc	total	hgcer_rf_later	note fadc does not include htrig3 rate
7806	497.0	30.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9796	0.9920	0.9751	0.8492		
7807	497.0	30.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9796	0.9920	0.9752	0.8492		
7808	226.5	27.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9899	0.9928	0.9887	0.8707		
7809	226.5	27.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9899	0.9928	0.9887	0.8707		
7811	54.9	41.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9964	0.9893	0.9973	0.8810		
7812	107.9	41.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9944	0.9893	0.9946	0.8769		
7813	421.7	25.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9824	0.9933	0.9789	0.8561		
7814	421.7	25.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9824	0.9933	0.9789	0.8561		
7815	487.1	14.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9799	0.9962	0.9756	0.8535		
7816	487.0	14.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9799	0.9962	0.9756	0.8535		
7817	486.9	14.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9799	0.9962	0.9757	0.8536		
7819	207.7	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9906	0.9894	0.9896	0.8692		
7820	207.7	41.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9906	0.9893	0.9896	0.8691		
